M, N, Gap Size, Flow, Length, Time(s)
13,13,4,169,2571,0.00084
19,19,5,361,9720,0.001834
25,25,7,625,28215,0.006566
31,31,9,961,65312,0.019445
37,37,11,1369,130573,0.043896
43,43,12,1849,230801,0.083489
49,49,14,2401,386983,0.168701
71,71,21,5041,1676976,1.78427
77,77,22,5929,2296487,2.22882
83,83,24,6889,3095781,3.49984
89,89,26,7921,4087383,5.15996
95,95,28,9025,5299901,7.60512
101,101,29,10201,6730017,9.92689
107,107,31,11449,8471288,13.9473
113,113,33,12769,10530307,20.0613
119,119,35,14161,12943562,27.9761
125,125,37,15625,15749525,37.493
